title,total_streams_mio,count_songs,days_in_charts,days_in_top10,avg_streams_per_song_mio,avg_days_in_charts_per_song
Blinding Lights,2380.64,1,32231,6680,2380.6,32231.0
Shape of You,2247.41,1,47943,8764,2247.4,47943.0
Dance Monkey,2070.16,1,35260,9861,2070.2,35260.0
Someone You Loved,1794.87,1,35183,3551,1794.9,35183.0
Sunflower - Spider-Man: Into the Spider-Verse,1655.17,1,25283,2653,1655.2,25283.0
bad guy,1498.95,1,27393,3691,1498.9,27393.0
Señorita,1486.59,1,25563,5182,1486.6,25563.0
Don't Start Now,1471.26,1,26574,2589,1471.3,26574.0
Lucid Dreams,1419.87,1,25006,1561,1419.9,25006.0
Happier,1366.37,1,36590,2482,1366.4,36590.0
Watermelon Sugar,1300.92,1,23899,1397,1300.9,23899.0
Circles,1282.21,1,19089,2142,1282.2,19089.0
God's Plan,1242.74,1,16814,3062,1242.7,16814.0
Shallow,1185.01,1,33795,3195,1185.0,33795.0
SAD!,1163.04,1,19035,1159,1163.0,19035.0
Roses - Imanbek Remix,1161.86,1,23549,3899,1161.9,23549.0
Believer,1133.12,1,37991,727,1133.1,37991.0
Perfect,1130.05,1,40097,1840,1130.0,40097.0
SICKO MODE,1064.46,1,17860,1018,1064.5,17860.0
The Box,1055.37,1,14851,3289,1055.4,14851.0
